code,full name,name,category,52w,ROE,P/E,EPS,DPS,DY,PTBV,RPS,PSR,Market_Cap,RSI,Stochastic
7031,AMTEL HOLDINGS BERHAD,"AMTEL (7031)
AMTEL HOLDINGS BERHAD Summary",Telecommunications & Media - Main Market,0.610 - 0.700,2.37,33,1.98,0,0.00%,0.79,93.96,1,35.5M,Neutral 48.4,Oversold 0.0
3115,KARAMBUNAI CORP BHD,"KBUNAI (3115)
KARAMBUNAI CORP BHD Summary",Property - Main Market,0.070 - 0.125,2.31,24,0.35,0,0.00%,0.56,1.21,7,491.0M,Neutral 44.5,Neutral 33.3
2194,MMC CORPORATION BERHAD,"MMCCORP (2194) [s]
MMC CORPORATION BERHAD Summary",Transportation & Logistics - Main Market,0.810 - 1.770,2.3,14,7.23,4,3.88%,0.33,164.54,1,"3,136.4M",Neutral 48.5,Neutral 28.6
5207,SBC CORPORATION BERHAD,"SBCCORP (5207) [s]
SBC CORPORATION BERHAD Summary",Property - Main Market,0.400 - 0.630,2.21,13,3.78,0,0.00%,0.28,48.51,1,123.9M,Neutral 46.7,Neutral 50.0
5016,WARISAN TC HOLDINGS BERHAD,"WARISAN (5016)
WARISAN TC HOLDINGS BERHAD Summary",Consumer Products & Services - Main Market,2.010 - 2.350,2.16,19,11.1,1,0.47%,0.42,739.55,0,144.5M,Neutral 54.8,Neutral 55.6
5108,ICAPITAL.BIZ BERHAD,"ICAP (5108)
ICAPITAL.BIZ BERHAD Summary",Closed-End Fund - Main Market,2.340 - 2.850,2.11,33,7.12,0,0.00%,0.7,17.74,13,330.4M,Neutral 42.1,Oversold 20.0
8397,TIONG NAM LOGISTICS HOLDINGS BERHAD,"TNLOGIS (8397)
TIONG NAM LOGISTICS HOLDINGS BERHAD Summary",Transportation & Logistics - Main Market,0.540 - 1.160,2.1,17,3.29,0,0.00%,0.35,135.47,0,251.1M,Oversold 26.6,Oversold 7.7
4359,TURIYA BERHAD,"TURIYA (4359) [s]
TURIYA BERHAD Summary",Technology - Main Market,0.105 - 0.200,2.06,13,1.09,0,0.00%,0.26,8.86,2,32.0M,Neutral 45.6,Oversold 0.0
117,SMRT HOLDINGS BERHAD,"SMRT (0117) [s]
SMRT HOLDINGS BERHAD Summary",Technology - Ace Market,0.095 - 0.185,2.04,13,0.89,0,0.00%,0.26,31.06,0,46.8M,Neutral 44.5,Neutral 33.3
3336,IJM CORPORATION BERHAD,"IJM (3336) [s]
IJM CORPORATION BERHAD Summary",Construction - Main Market,1.390 - 2.980,2.03,43,5.21,5,2.23%,0.87,155.66,1,"8,143.9M",Neutral 58.9,Neutral 35.0
205,DPI HOLDINGS BERHAD,"DPIH (0205)
DPI HOLDINGS BERHAD Summary",Consumer Products & Services - Ace Market,0.180 - 0.350,4,33,0.56,0,0.00%,1.32,4.15,4,90.0M,Neutral 36.1,Oversold 14.3
7114,D'NONCE TECHNOLOGY BHD,"DNONCE (7114)
D'NONCE TECHNOLOGY BHD Summary",Industrial Products & Services - Main Market,0.290 - 0.755,1.92,60,0.75,0,0.00%,1.15,67.58,1,112.2M,Neutral 48.0,Neutral 44.4
4677,YTL CORPORATION BERHAD,"YTL (4677)
YTL CORPORATION BERHAD Summary",Utilities - Main Market,0.915 - 1.480,1.94,46,2.42,3.88,3.46%,0.9,152.82,1,"12,219.8M",Neutral 48.7,Neutral 35.0
2542,RIVERVIEW RUBBER ESTATES BERHAD,"RVIEW (2542) [s]
RIVERVIEW RUBBER ESTATES BERHAD Summary",Plantation - Main Market,2.750 - 3.980,1.86,40,7.64,2,0.66%,0.74,44.2,7,197.8M,Neutral 52.3,Overbought 100.0
5202,MSM MALAYSIA HOLDINGS BERHAD,"MSM (5202) [s]
MSM MALAYSIA HOLDINGS BERHAD Summary",Consumer Products & Services - Main Market,1.490 - 4.120,1.82,29,5.07,0,0.00%,0.53,315.15,0,"1,047.4M",Oversold 15.3,Oversold 0.0
7201,PROGRESSIVE IMPACT CORPORATION BERHAD,"PICORP (7201) [s]
PROGRESSIVE IMPACT CORPORATION BERHAD Summary",Industrial Products & Services - Main Market,0.090 - 0.180,1.75,65,0.21,0.5,3.57%,1.17,13.29,1,92.1M,Neutral 59.6,Neutral 66.7
5138,HAP SENG PLANTATIONS HOLDINGS BERHAD,"HSPLANT (5138) [s]
HAP SENG PLANTATIONS HOLDINGS BERHAD Summary",Plantation - Main Market,1.610 - 2.500,1.78,45,3.64,2.5,1.52%,0.8,48.84,3,"1,320.0M",Neutral 36.5,Oversold 0.0
7217,EONMETALL GROUP BERHAD,"EMETALL (7217) [s]
EONMETALL GROUP BERHAD Summary",Industrial Products & Services - Main Market,0.370 - 0.650,1.74,24,1.65,0,0.00%,0.41,61.5,1,73.4M,Neutral 41.0,Oversold 0.0
4723,JAKS RESOURCES BERHAD,"JAKS (4723) [s]
JAKS RESOURCES BERHAD Summary",Construction - Main Market,0.405 - 1.560,1.9,31,2.59,0,0.00%,0.59,126.65,1,470.6M,Neutral 53.5,Neutral 32.1
